4281507270,JUNIOR DATA ENGINEER (IT),"Milan, Lombardy, Italy",5 days ago,Plenitude,"Potrai entrare a far parte di una global energy tech company impegnata a raggiungere la neutralità carbonica entro il 2050, che punta sulle competenze e sulla crescita delle persone investendo risorse nella ricerca di soluzioni tecnologiche innovative .Come Junior Data Engineer, farai parte di. In particolare, all’interno del tuo teamcollaborerai con gli altri esperti del mondo dati (Data Scientist, Data Analyst, BI Expert) per costruire team multifunzionali, al fine di creare business value dai dati, lavorando alla diffusione in azienda dell’utilizzo dei dati, degli analytics e dei data products.MilanoPromuoviamo forme flessibili di lavoro, offrendo opzioni di Smart working ed orari flessibili al fine di sostenere il maggior equilibrio tra vita professionale e personale.I candidati ritenuti di maggior interesse saranno contattati per le fasi successive.Per informazioni sule consigli utili puoi cliccare., società controllata da Eni, è presente sul mercato con un modello di business distintivo che integra la produzione da rinnovabili, la vendita di energia e le soluzioni energetiche e un’ampia rete di punti di ricarica per veicoli elettrici.Fornisce energia a 10 milioni di clienti europei nel mercato retail con l’obiettivo di raggiungere 11,5 milioni di clienti entro il 2027. La Società ha l’obiettivo di raggiungere oltre 8 GW di capacità rinnovabile installata al 2027 e oltre 15 GW al 2030. Nel settore della mobilità elettrica possiede una rete di migliaia di punti di ricarica che sarà ampliata sia in Italia che in Europa con l’obiettivo di raggiungere 40.000 punti entro il 2027. Inoltre, è leader in Italia nella generazione distribuita da impianti fotovoltaici di piccola taglia.Plenitude è una Società Benefit, che integra, all’interno del proprio Statuto, l’obiettivo di avere un impatto positivo sulle persone, le comunità e l’ambiente e si inquadra nel più ampio impegno di Eni volto a creare valore attraverso la transizione energetica. Presente in diversi Paesi del mondo, Plenitude ha l’obiettivo di azzerare le emissioni nette di CO2 Scope1, 2 e 3 entro il 2040 e grazie a una proposta integrata e diversificata, di fornire energia decarbonizzata a tutti i clienti.",https://it.linkedin.com/jobs/view/junior-data-engineer-it-at-plenitude-4281507270?trk=public_jobs_topcard-title,https://www.linkedin.com/company/eni-plenitude?trk=public_jobs_topcard-org-name,Over 200 applicants,Oil and Gas,Full-time,Information Technology,Mid-Senior level,European Union,Data engineer
4280228496,Junior Data Engineer Graduate Program,"Lisboa, Lisbon, Portugal",4 days ago,Richemont,"We are seeking an enthusiastic and aspiring Junior Data Engineer to join our growing data team. In this entry-level role, you will have the opportunity to learn and contribute to building, maintaining, and optimizing our data infrastructure, with a strong emphasis on DataOps principles. You will work closely with data analysts and other engineers, learning to ensure the reliability, scalability, and security of our data pipelines.",https://pt.linkedin.com/jobs/view/junior-data-engineer-graduate-program-at-richemont-4280228496?trk=public_jobs_topcard-title,https://ch.linkedin.com/company/richemont?trk=public_jobs_topcard-org-name,Over 200 applicants,Retail Luxury Goods and Jewelry,Temporary,Information Technology,Entry level,European Union,Data engineer
4292392661,Data Engineer,Bucharest Metropolitan Area,6 days ago,Deutsche Bank,,https://ro.linkedin.com/jobs/view/data-engineer-at-deutsche-bank-4292392661?trk=public_jobs_topcard-title,https://de.linkedin.com/company/deutsche-bank?trk=public_jobs_topcard-org-name,,Financial Services and Banking,Full-time,Engineering,Mid-Senior level,European Union,Data engineer
4273233182,Junior Data Engineer,"Athens, Attiki, Greece",2 weeks ago,EY,"At EY, we’re all in to shape your future with confidence. We’ll help you succeed in a globally connected powerhouse of diverse teams and take your career wherever you want it to go.Join EY and help to build a better working world.Being part of EY in Greece means being part of a team which has been announced asfor the third consecutive year, certified as afor a second year in a row, and awarded asfor the first time!At EY, we’ll develop you withand equip you withthrough coaching and training programs as well as the use of. We’ll fuel you and your extraordinary talents in aof globally connected teamsJoin our continuously growing team, which employs, to experience great flexibility under ouracross our offices in Athens, Patras, and Thessaloniki and help to.Modern technology produces more data than ever before, but also provides the tools to store, organize, analyze and share this data, resulting in new opportunities and substantiated business insights in support of new and deeper insights and more informed decision making. EY delivers leading services and solutions in the area of big data, business intelligence and data engineering built on a blend of tools and custom-developed methods.As part of our AI & Data team of the Technology Consulting practice, you will work with multi-disciplinary teams to support clients in a wide range of data initiatives aiming to generate and present new, useful and actionable insights. You will have the opportunity to work and take responsibilities in challenging engagements, gaining exposure to clients in various sectors both in Greece and abroad.Are you ready to shape your future with confidence? Apply today.To help create an equitable and inclusive experience during the recruitment process, please inform us as soon as possible about any disability-related adjustments or accommodations you may need.| Building a better working worldEY is building a better working world by creating new value for clients, people, society and the planet, while building trust in capital markets.Enabled by data, AI and advanced technology, EY teams help clients shape the future with confidence and develop answers for the most pressing issues of today and tomorrow.EY teams work across a full spectrum of services in assurance, consulting, tax, strategy and transactions. Fueled by sector insights, a globally connected, multi-disciplinary network and diverse ecosystem partners, EY teams can provide services in more than 150 countries and territories.#betterworkingworld",https://gr.linkedin.com/jobs/view/junior-data-engineer-at-ey-4273233182?trk=public_jobs_topcard-title,https://uk.linkedin.com/company/ernstandyoung?trk=public_jobs_topcard-org-name,Over 200 applicants,Professional Services,Full-time,Information Technology,Entry level,European Union,Data engineer
4290881764,DATA ENGINEER,"Paris, Île-de-France, France",1 week ago,STATION F,"À proposKraaft a pour mission d’aider les entreprises du BTP grâce à l’intelligence artificielle, via une application de suivi de chantier simple à utiliser sur le terrain.Dans un monde où le numérique semble être partout, on oublie parfois que 80% des employés ne travaillent pas derrière un bureau ! Beaucoup de personnes sur le terrain n’ont pas d’e-mails professionnels et n’ont pas de bonne connexion internet. Sur chantier, taper un message avec des gants ou sous la pluie complique encore les choses, et la communication est parfois difficile avec les ingénieurs travaux au bureau.Kraaft comble ce fossé ! Première “super app” pour chantiers, elle simplifie la vie des ouvriers en intégrant discussions, plans, photos, rapports, et workflows d’IA dans une seule app facile à utiliser sur le terrain.Avec plus de 1 000 entreprises clientes dans 7 pays, et une récente levée de fonds de 13M début 2025, Kraaft a su convaincre des géants du BTP comme VINCI et Bouygues.Dans ce contexte, nous cherchons le premier Data Engineer de Kraaft, pour porter la vision Data de notre entreprise ! et mieux répondre aux enjeux de notre croissance.Descriptif du posteEn tant que, tu vas poser les fondations de notre stack data. Aujourd’hui, nos données sont riches (métier, usage, produit), mais sous-exploitées. Ton objectif ? Nous aider à les structurer, les rendre accessibles et les transformer en levier stratégique.Tu travailleras au sein de la team Tech & Produit, main dans la main avec les devs, le produit, et les équipes métier (Sales, Ops, CS). Tu seras un maillon clé dans la mise en place de notre future plateforme data.Profil recherché❤️ Pourquoi nous rejoindre ?Process de recrutementInformations complémentaires",https://fr.linkedin.com/jobs/view/data-engineer-at-station-f-4290881764?trk=public_jobs_topcard-title,https://fr.linkedin.com/company/stationf?trk=public_jobs_topcard-org-name,,"Technology, Information and Internet",Full-time,Information Technology,Entry level,European Union,Data engineer
4281709044,Junior Data Engineer,"Lisbon, Portugal",3 weeks ago,Next Engineering,,https://pt.linkedin.com/jobs/view/junior-data-engineer-at-next-engineering-4281709044?trk=public_jobs_topcard-title,https://pt.linkedin.com/company/yournextengineering?trk=public_jobs_topcard-org-name,,Information Technology & Services,Full-time,Information Technology,Associate,European Union,Data engineer
4234705599,Data Engineer,"Amsterdam, North Holland, Netherlands",2 weeks ago,Samba TV,,https://nl.linkedin.com/jobs/view/data-engineer-at-samba-tv-4234705599?trk=public_jobs_topcard-title,https://www.linkedin.com/company/sambatv?trk=public_jobs_topcard-org-name,,"Technology, Information and Internet",Full-time,Information Technology,Not Applicable,European Union,Data engineer
4295028421,Data Engineer,"Zielona Góra, Lubuskie, Poland",17 hours ago,Amazing AUCTANE,"At Auctane, we are united by a passion to help businesses deliver — whatever their size, wherever they are, and however they operate. We make it possible for businesses to meet the ever-changing requirements of their industry and customer expectations. Auctane products enable hundreds of thousands of businesses to annually mail and ship billions of items — over $200 billion worth — to recipients around the globe.The Auctane family of mailing and shipping software products includes ShipStation, Stamps.com, ShipStation API, Metapack, GlobalPost, and Packlink. Our partners include Amazon, UPS, USPS, eBay, BigCommerce, Shopify, WooCommerce, and Walmart.Our valuesWin as One. Delight Customers. Deliver Great Outcomes.This is a hands-on role for a Data Engineer sitting within the Data Products team. In this role, you will have an enormous impact on the design, implementation, and maintenance of existing and greenfield customer-facing data products. Data is key to Auctane's strategy. We work at a scale pace and with the latest architecture patterns and tech. We process thousands of events per second, and our massive dataset keeps growing at a staggering pace. We keep improving our data platform and data engineering stack to accommodate growth, enable novel solutions, and provide the best service to our customers. We have a flat and open engineering culture where data & evidence beat opinion and hierarchy, backed by honest discussions. We passionately believe in forming autonomous, cross-functional teams who are empowered to deliver our ambitious strategy. Energy and passion for our business and customers are a part of the Auctane culture – and we love working with like-minded people.What will you be doing?What are we looking for?What will make you stand out?Tech stackPython SQL Amazon Web Services C# .NETWhat do we offer?",https://pl.linkedin.com/jobs/view/data-engineer-at-amazing-auctane-4295028421?trk=public_jobs_topcard-title,https://pl.linkedin.com/company/auctane-poland?trk=public_jobs_topcard-org-name,Be among the first 25 applicants,Software Development,Full-time,Information Technology,Entry level,European Union,Data engineer
4291112012,Data engineer JR,"Madrid, Community of Madrid, Spain",5 days ago,Solarig,,https://es.linkedin.com/jobs/view/data-engineer-jr-at-solarig-4291112012?trk=public_jobs_topcard-title,https://es.linkedin.com/company/solarig?trk=public_jobs_topcard-org-name,Over 200 applicants,Renewable Energy Power Generation,Full-time,Information Technology,Associate,European Union,Data engineer
4293766905,Data Engineer,Ireland,2 days ago,Ardanis,"Ardanis is currently looking for a Data Engineer to support a client in the hospitality sector in the UK. The role involves collaborating with a small, non-technical internal team to build and refactor a data warehouse, streamline reporting, and improve insights through Power BI.If you're ready to shape the future, join us!",https://ie.linkedin.com/jobs/view/data-engineer-at-ardanis-4293766905?trk=public_jobs_topcard-title,https://ie.linkedin.com/company/ardanis-technologies-limited?trk=public_jobs_topcard-org-name,Over 200 applicants,IT Services and IT Consulting,Full-time,Other,Entry level,European Union,Data engineer
